Date,Open,High,Low,Close,Volume
12/1/2016,56.529999,57.799999,56.25,57.790001,880758
12/2/2016,57.599998,57.68,56.630001,57.040001,941156
12/5/2016,56.34,58.119999,55.990002,57.849998,932235
12/6/2016,57.549999,60.220001,57.549999,60,1102529
12/7/2016,60.5,61.389999,58.25,58.93,1766177
12/8/2016,59.290001,61.450001,58.779999,61.279999,1550656
12/9/2016,60.990002,60.990002,59.310001,59.310001,1134696
12/12/2016,59.259998,60.189999,59.16,59.540001,767548
12/13/2016,59.5,60.099998,58.900002,59.959999,859280
12/14/2016,59.740002,60.099998,59.389999,59.709999,1220610
12/15/2016,60.029999,61.330002,60.029999,61.02,1304496
12/16/2016,60.91,61.169998,60.580002,60.900002,983651
12/19/2016,60.900002,60.900002,59.189999,59.529999,673977
12/20/2016,59.560001,60.459999,59.400002,59.900002,615633
12/21/2016,59.799999,60.029999,59.279999,59.93,507892
12/22/2016,59.919998,60.400002,59.459999,59.700001,460326
12/23/2016,59.959999,60.369999,59.360001,59.529999,326282
12/27/2016,59.59,60.110001,59.200001,59.580002,206922
12/28/2016,59.59,59.639999,58.950001,59.369999,366744
12/29/2016,59.130001,59.450001,58.810001,58.889999,306623
12/30/2016,58.900002,59.200001,58.580002,58.830002,304860
1/2/2017,58.720001,60.049999,58.580002,59.900002,276176
1/3/2017,60.110001,62.299999,59.830002,61.619999,949034
1/4/2017,61.799999,62.259998,61.009998,61.48,469290
1/5/2017,61.43,61.889999,60.529999,60.880001,529128
1/6/2017,60.77,61.470001,60.720001,61.040001,464924
1/9/2017,61.049999,61.09,59.400002,59.889999,786121
1/10/2017,60.040001,60.830002,59.48,60.5,731726
1/11/2017,60.25,60.52,59.549999,60.07,513992
1/12/2017,59.900002,60.110001,58.720001,58.98,633389
1/13/2017,59.5,60.5,59.299999,60.330002,560207
1/16/2017,59.98,60.27,59.299999,59.529999,545661
1/17/2017,59.619999,59.990002,58.799999,59.290001,604678
1/18/2017,59.470001,59.48,58.310001,58.849998,557064
1/19/2017,59.16,59.689999,58.860001,59.23,673166
1/20/2017,59.900002,60.299999,59.119999,59.709999,634918
1/23/2017,59.240002,59.419998,58.220001,58.689999,548711
1/24/2017,59,59.439999,58.880001,59.110001,557874
1/25/2017,59.599998,61.080002,59.529999,60.77,818097
1/26/2017,60.950001,62.209999,60.860001,61.25,1038003
1/27/2017,61.25,61.689999,61.18,61.32,696975
1/30/2017,61.07,61.580002,60.18,60.509998,539882
1/31/2017,60.400002,61.709999,60.02,60.02,752635
2/1/2017,60.52,60.959999,60.43,60.799999,723060
2/2/2017,60.720001,61.259998,60.060001,60.259998,765386
2/3/2017,60.419998,61.419998,60.32,60.529999,639153
2/6/2017,60.720001,61.400002,60.119999,60.119999,549932
2/7/2017,60,60.130001,59.599998,59.740002,670903
2/8/2017,60.099998,60.549999,58.360001,59.07,1022857
2/9/2017,59.200001,59.619999,58.310001,58.919998,998397
2/10/2017,59.369999,59.75,57.869999,58.07,1575956
2/13/2017,58.41,58.599998,57.849998,58.389999,923530
2/14/2017,58.400002,58.959999,57.860001,58.75,810328
2/15/2017,59.169998,59.950001,58.959999,59.259998,797965
2/16/2017,59.349998,59.400002,58.459999,58.5,755658
2/17/2017,58.720001,58.759998,57.84,58.240002,986429
2/20/2017,58.580002,58.950001,58.310001,58.48,433170
2/21/2017,58.400002,58.950001,57.900002,58.369999,592407
2/22/2017,58.490002,58.959999,57.709999,58.299999,815416
2/23/2017,58.220001,58.57,57.799999,57.880001,633599
2/24/2017,57.889999,58.16,56.220001,57.02,907781
2/27/2017,57.130001,57.919998,56.900002,57.509998,751409
2/28/2017,57.669998,57.990002,57.029999,57.740002,791365
3/1/2017,58.459999,59.59,58.220001,59.470001,958899
3/2/2017,59.380001,59.82,58.950001,59.380001,635916
3/3/2017,59.41,61.049999,58.490002,60.459999,1053100
3/6/2017,60.060001,60.59,59.669998,59.900002,782293
3/7/2017,59.959999,60.16,59.400002,60.060001,695762
3/8/2017,60.049999,61.27,59.919998,60.830002,901721
3/9/2017,60.77,62.740002,60.619999,62.560001,1215781
3/10/2017,62.77,63.990002,62.650002,63.5,1258575
3/13/2017,63.619999,63.639999,62.98,63.509998,501570
3/14/2017,63.529999,63.540001,62.869999,63.25,738879
3/15/2017,63.220001,63.990002,62.970001,63.43,593813
3/16/2017,63.950001,64.790001,63.470001,63.560001,1186294
3/17/2017,63.299999,64.300003,63.150002,63.619999,1188090
3/20/2017,63.110001,63.880001,63,63.549999,459770
3/21/2017,64.080002,64.449997,62.91,63.150002,929315
3/22/2017,62.75,63.189999,61.93,62.779999,1128811
3/23/2017,63,63.669998,62.549999,63.43,745641
3/24/2017,63.349998,63.59,62.540001,62.77,509093
3/27/2017,62.040001,62.619999,61.880001,62.470001,805392
3/28/2017,62.779999,63.139999,62.110001,63.119999,767738
3/29/2017,63.5,63.5,61.540001,62.509998,801786
3/30/2017,62.57,62.57,61.450001,61.970001,1024462
3/31/2017,61.650002,62.23,61.27,62.189999,733465
4/3/2017,62.130001,62.130001,61.34,61.549999,715477
4/4/2017,61.419998,62.110001,61.099998,61.509998,848115
4/5/2017,61.759998,62.639999,61.689999,61.889999,808974
4/6/2017,61.619999,62.34,61.119999,62.330002,727367
4/7/2017,62,62.669998,61.669998,62.27,824933
4/10/2017,62.299999,62.619999,62.09,62.150002,648911
4/11/2017,61.619999,62.029999,61.299999,61.709999,919165
4/12/2017,61.889999,62.450001,61.34,61.34,678384
4/13/2017,61.330002,61.41,59.669998,60.049999,1156240
4/18/2017,60.43,60.43,59.330002,59.419998,989791
4/19/2017,59.369999,60.389999,59.369999,60.330002,788636
4/20/2017,60,60.75,59.59,60.41,1066742
4/21/2017,60.950001,62.970001,60.57,62.040001,1777371
4/24/2017,64.790001,65.279999,63.869999,65.279999,1843656
4/25/2017,65.550003,66.209999,65.400002,65.919998,1356339
4/26/2017,65.699997,66.260002,65.419998,66.050003,1022487
4/27/2017,66,66.870003,65.800003,66.230003,1034943
4/28/2017,66,66.620003,65.809998,66.279999,882193
5/2/2017,66.480003,67.519997,66.339996,67.5,973191
5/3/2017,67.709999,68.230003,67.43,68.160004,829443
5/4/2017,68.300003,68.949997,67.919998,68.489998,1058449
5/5/2017,68.269997,70.239998,68.019997,70.190002,1181931
5/8/2017,70.739998,70.980003,68.910004,70.150002,1270499
5/9/2017,68.620003,68.910004,67.790001,67.900002,1052771
5/10/2017,68.029999,69.019997,67.68,68.5,1011001
5/11/2017,68.669998,69.040001,65.720001,66.400002,1538473
5/12/2017,66.5,67.610001,66.360001,67.230003,793231
5/15/2017,67.599998,67.809998,66.900002,67.809998,724847
5/16/2017,67.910004,67.910004,66.470001,66.5,1097986
5/17/2017,66.370003,66.470001,64.709999,65.269997,1124003
5/18/2017,65,65.32,63.450001,65,1204110
5/19/2017,65.269997,66.099998,65.160004,65.849998,662672
5/22/2017,66.050003,66.580002,65.669998,65.779999,740763
5/23/2017,65.650002,67.18,65.489998,66.82,728880
5/24/2017,66.949997,67.099998,66.440002,66.989998,637279
5/25/2017,67.269997,67.529999,66.610001,66.730003,441825
5/26/2017,66.620003,66.720001,65.510002,66.410004,640604
5/29/2017,66.290001,66.5,66,66.07,277185
5/30/2017,65.690002,66.790001,65.169998,66.610001,831287
5/31/2017,66.699997,67.599998,66.239998,66.980003,1170915
6/1/2017,67.07,67.099998,65.82,66.260002,706462
6/2/2017,66.800003,67.68,65.919998,66.099998,857589
6/5/2017,66.230003,66.489998,65.910004,66.349998,363297
6/6/2017,66.120003,66.599998,65.830002,66.099998,616341
6/7/2017,66.019997,68.25,65.949997,67.809998,1008233
6/8/2017,67.949997,68.779999,67.309998,68.480003,1039320
6/9/2017,68.559998,69.809998,68.510002,69.410004,1015897
6/12/2017,69.279999,69.5,67.849998,67.889999,662575
6/13/2017,68.019997,68.589996,67.550003,68.230003,628543
6/14/2017,68.470001,69.309998,67.269997,67.449997,835660
6/15/2017,67.580002,67.75,66.389999,67.650002,963294
6/16/2017,67.940002,68.389999,67.230003,68.190002,1399218
6/19/2017,68.529999,69.190002,68.449997,68.940002,706692
6/20/2017,69.190002,69.220001,67.730003,67.830002,771734
6/21/2017,66.449997,66.449997,63.799999,65.110001,1884104
6/22/2017,64.82,64.870003,62.939999,63.599998,1399384
6/23/2017,63.459999,64.199997,63.009998,63.380001,899708
6/26/2017,63.630001,64.43,63.540001,63.630001,879870
6/27/2017,63.630001,65.110001,63.5,64.699997,1231282
6/28/2017,64.599998,65.690002,63.900002,65.550003,1217149
6/29/2017,65.949997,66.910004,65.610001,65.760002,1087641
6/30/2017,65.660004,66.940002,65.660004,66.410004,1162403
7/3/2017,66.839996,68.07,66.360001,68,953118
7/4/2017,67.790001,68.339996,67.400002,67.620003,606936
7/5/2017,67.550003,67.93,67.18,67.489998,704434
7/6/2017,67.43,68.089996,67.339996,67.730003,776897
7/7/2017,67.809998,68.059998,67.489998,68.059998,616880
7/10/2017,68.099998,68.489998,67.75,67.75,461601
7/11/2017,67.93,68.32,67.389999,67.540001,377187
7/12/2017,67.650002,68.279999,67.470001,67.690002,547796
7/13/2017,67.959999,68.769997,67.870003,68.190002,565797
7/14/2017,68.470001,68.610001,67.5,67.830002,593202
7/17/2017,68.160004,68.220001,67.559998,67.940002,409525
7/18/2017,67.970001,68.080002,66.139999,66.629997,655501
7/19/2017,66.980003,67.400002,66.239998,67.269997,618759
7/20/2017,67.269997,68.419998,67.040001,67.660004,858427
7/21/2017,67.449997,67.599998,66.57,67,644366
7/24/2017,66.879997,67.019997,66.160004,66.599998,801100
7/25/2017,66.690002,68.410004,66.690002,68.07,790386
7/26/2017,68.389999,69.889999,68.370003,69.720001,1209843
7/27/2017,69.419998,70.330002,69.32,69.980003,832694
7/28/2017,69.860001,69.989998,69.25,69.959999,658826
7/31/2017,70.010002,70.300003,69.580002,70,667978
8/1/2017,70.209999,70.5,69.940002,70.190002,562119
8/2/2017,70.349998,70.389999,69.589996,69.940002,808529
8/3/2017,69.800003,69.93,69.040001,69.849998,491216
8/4/2017,69.779999,70.900002,69.599998,70.660004,697932
8/7/2017,70.730003,70.860001,70.260002,70.760002,437837
8/8/2017,70.650002,70.989998,70.519997,70.980003,490889
8/9/2017,70.639999,70.720001,69.300003,70.699997,673789
8/10/2017,70.739998,71.339996,68.889999,69.360001,1036253
8/11/2017,68.879997,69.660004,68.169998,69.089996,673146
8/14/2017,69.43,70.220001,69.379997,69.75,439409
8/15/2017,70,70.790001,69.529999,70.360001,436971
8/16/2017,70.800003,70.980003,70.290001,70.669998,487049
8/17/2017,70.379997,70.559998,69.349998,69.879997,580175
8/18/2017,69.220001,70,68.610001,69.870003,537368
8/21/2017,69.580002,69.769997,68.970001,69.220001,402550
8/22/2017,69.860001,70.190002,69.459999,69.580002,484027
8/23/2017,69.489998,69.93,68.620003,68.639999,531083
8/24/2017,69.029999,69.459999,68.889999,69.07,478397
8/25/2017,69.080002,69.610001,68.800003,68.800003,305490
8/28/2017,68.540001,69.120003,68.470001,68.5,239518
8/29/2017,68,68.5,67.599998,68,655501
8/30/2017,68.660004,68.779999,68.239998,68.620003,390492
8/31/2017,68.970001,69.470001,68.650002,69.029999,686260
9/1/2017,69.260002,69.419998,68.790001,69.129997,369041
9/4/2017,68.5,68.900002,68.339996,68.540001,309149
9/5/2017,68.580002,68.779999,67.800003,68.040001,595613
9/6/2017,67.449997,68.059998,67.349998,67.849998,535562
9/7/2017,68.080002,68.559998,67.57,68.010002,743821
9/8/2017,67.860001,68.580002,67.440002,68.529999,752625
9/11/2017,68.800003,69.239998,68.550003,69.110001,565538
